params,mean_rmse,std_rmse,scores
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.3928490358869,0.7366521656036954,[71.74612716 69.65634652 70.3709301  69.81074828 70.38009312]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.3928490358869,0.7366521656036954,[71.74612716 69.65634652 70.3709301  69.81074828 70.38009312]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.3928490358869,0.7366521656036954,[71.74612716 69.65634652 70.3709301  69.81074828 70.38009312]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.72666977931354,0.6591527967457109,[65.94174238 64.28340625 64.76031859 64.02897082 64.61891085]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.72666977931354,0.6591527967457109,[65.94174238 64.28340625 64.76031859 64.02897082 64.61891085]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.72666977931354,0.6591527967457109,[65.94174238 64.28340625 64.76031859 64.02897082 64.61891085]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.55316356703679,0.7942128479400138,[62.06067155 60.57223827 60.298574   59.85747206 59.97686196]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.55316356703679,0.7942128479400138,[62.06067155 60.57223827 60.298574   59.85747206 59.97686196]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.55316356703679,0.7942128479400138,[62.06067155 60.57223827 60.298574   59.85747206 59.97686196]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.7978936914764,0.749775551829227,[71.21823009 69.02844726 69.63300841 69.38737096 69.72241174]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.7978936914764,0.749775551829227,[71.21823009 69.02844726 69.63300841 69.38737096 69.72241174]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.7978936914764,0.749775551829227,[71.21823009 69.02844726 69.63300841 69.38737096 69.72241174]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.555481745486915,0.826950141591659,[65.15603915 63.08162208 63.53141039 62.89363852 63.11469859]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.555481745486915,0.826950141591659,[65.15603915 63.08162208 63.53141039 62.89363852 63.11469859]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.555481745486915,0.826950141591659,[65.15603915 63.08162208 63.53141039 62.89363852 63.11469859]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.193833524448266,0.879235768626842,[60.87593538 59.03654629 59.07877705 58.44354103 58.53436788]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.193833524448266,0.879235768626842,[60.87593538 59.03654629 59.07877705 58.44354103 58.53436788]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.193833524448266,0.879235768626842,[60.87593538 59.03654629 59.07877705 58.44354103 58.53436788]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.2426380017697,0.68933353592511,[70.45315954 68.39819386 69.19862359 68.81359926 69.34961375]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.2426380017697,0.68933353592511,[70.45315954 68.39819386 69.19862359 68.81359926 69.34961375]
